ad_id,period,budget,target_CPA,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
52880899,20260207,73.77049180327869,8.0,2.412286369999999,4.581989160764526,0.14983050444444446,0.007554305008441193,11.05307,6712,72,-0.4272513549044342
52881127,20260207,73.77049180327869,8.1,4.142867119999997,3.102274253005732,0.1742202022222222,0.002931950104977152,12.85231,4748,72,-0.6170031786412677
52896858,20260207,237.28813559322035,6.1,3.673954739999999,2.1277970343205705,0.03294488357142857,0.023086904761904763,7.817430000000001,19393,72,-0.6511808140458081
53225658,20260207,121.21212121212122,5.1,4.512303389999997,4.225841738004238,0.15731331,0.0030085156839495526,19.06828,2791,72,-0.17140358078348267
53375682,20260207,125.0,2.2,2.064560029999999,0.611452310253241,0.01009904,0.0009694122159363314,1.26238,5055,72,-0.7220671317030724
53566239,20260207,136.80566000000002,1.01,212.6730757199995,0.582330553976907,0.9052697819666233,0.016136547068750458,123.84603000000001,43985,72,-0.42343509507236926
53572696,20260207,22.93577981651376,1.09,42.93508533,0.11696890693008435,0.218962252,0.007998548125373645,5.02207,18731,66,-0.8926890762109319
53577684,20260207,121.21212121212122,5.0,14.218412060000002,4.192357047218675,0.49177144500000003,0.006814386379373549,59.60866000000001,16730,72,-0.16152859055626506
53730651,20260207,61.29961,2.47,50.53852638000001,1.183268177436716,0.9755466633474503,0.06955152450791201,59.80063,180208,72,-0.5209440577179288
53763548,20260207,488.9979699999999,2.04,373.1346906,1.2708799582195698,0.9697574000153828,0.006987205387205387,474.2094000000001,31128,72,-0.3770196283237403
53841870,20260207,200.65753,1.98,20.968288079999997,1.1407717172111649,0.11920823504605083,0.0010842730874733313,23.920029999999997,1423,72,-0.42385266807516925
53849804,20260207,55.55555555555556,2.48,0.252236679999999,2.2162121702521707,0.01006218,0.005107913669064748,0.55901,1420,72,-0.10636606038218925
53854143,20260207,571.02984,1.09,366.8150784600001,0.7371172721011375,0.47350543011902846,0.012759666832147389,270.38573,23132,66,-0.32374562192556194
53919091,20260207,88.28998999999999,2.0,52.92278080999999,0.7699551946503245,0.4615264992101597,0.03235420861602391,40.74817,252269,72,-0.6150224026748378
54113091,20260207,148.7603305785124,4.6,7.872438679999999,3.7364266900837904,0.197732755,0.031389775051124745,29.41479,115122,72,-0.1877333282426542
54547571,20260207,31.747280000000007,6.5,5.582730409999998,2.2236090744707844,0.3910196401077508,0.0020264695771742866,12.413809999999998,1179,72,-0.6579062962352639
54801379,20260207,897.71512,5.26,164.4773952400001,3.0362670157275753,0.5562981828801102,0.03595698758960919,499.39729000000005,46647,72,-0.42276292476662064
54805715,20260207,112.67605633802818,5.1,1.7525278699999993,1.720651666441117,0.026762473749999998,0.02838380362468456,3.01549,24745,72,-0.6626173203056633
54852798,20260207,100.0,5.0,32.09324778,2.5229902113696268,0.8097095,0.006027787934186472,80.97095,32972,72,-0.49540195772607465
54858966,20260207,83.33333333333333,1.76,0.2659736899999991,0.4945225973290834,0.0015783600000000002,0.01026457399103139,0.13153,2289,72,-0.7190212515175662
